year,month,day,hour,weekday,is_weekend,is_holiday,free,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,speed
0,1,1,0,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,43.00293016
0,1,1,1,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,46.11869568
0,1,1,2,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,44.29415804
0,1,1,3,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,41.06746764
0,1,1,4,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,46.44865313
0,1,1,5,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,46.79776582
0,1,1,6,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,44.4049252
0,1,1,7,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,45.25589692
0,1,1,8,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,45.68085866
0,1,1,9,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,48.43567634
0,1,1,10,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,49.4570539
0,1,1,11,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,41.9685186
0,1,1,12,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,42.72473472
0,1,1,13,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,47.93645857
0,1,1,14,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,45.97188063
0,1,1,15,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,41.35986149
0,1,1,16,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,43.86803313
0,1,1,17,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,47.61554073
0,1,1,18,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,38.35276019
0,1,1,19,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,47.26892837
0,1,1,20,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,46.44475569
0,1,1,21,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,41.9819084
0,1,1,22,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,39.81723982
0,1,1,23,6,1,0,1.0,21,17,0.0,8.7,5,20,9,20,7,17,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,44.27782113
0,1,2,0,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,47.62156284
0,1,2,1,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,47.07016077
0,1,2,2,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,46.89492264
0,1,2,3,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,47.0613949
0,1,2,4,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,47.01615626
0,1,2,5,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,44.82629585
0,1,2,6,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,42.37291267
0,1,2,7,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,41.03940657
0,1,2,8,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,28.42375086
0,1,2,9,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,33.6611834
0,1,2,10,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,39.49302198
0,1,2,11,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,32.44394381
0,1,2,12,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,22.15993177
0,1,2,13,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,24.32208805
0,1,2,14,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,25.68121704
0,1,2,15,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,23.944490100000003
0,1,2,16,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,18.73019161
0,1,2,17,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,18.97422526
0,1,2,18,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,20.09936358
0,1,2,19,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,30.30038076
0,1,2,20,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,38.23933239
0,1,2,21,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,44.18686543
0,1,2,22,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,42.60273783
0,1,2,23,0,0,1,1.0,22,17,0.0,8.7,5,27,9,21,7,17,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,44.89217148
0,1,3,0,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,48.66582335
0,1,3,1,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,49.25749603
0,1,3,2,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,46.44221828
0,1,3,3,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,48.86047714
0,1,3,4,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,47.15122779
0,1,3,5,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,45.46067216
0,1,3,6,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,43.32843989
0,1,3,7,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,23.93352837
0,1,3,8,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,16.92674997
0,1,3,9,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,19.09222538
0,1,3,10,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,33.11256658
0,1,3,11,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,19.44291389
0,1,3,12,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,29.79058532
0,1,3,13,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,30.78994075
0,1,3,14,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,20.2138749
0,1,3,15,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,18.05015491
0,1,3,16,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,23.04990915
0,1,3,17,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,20.7917376
0,1,3,18,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,14.15768031
0,1,3,19,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,24.53891079
0,1,3,20,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,37.97752767
0,1,3,21,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,45.28052513
0,1,3,22,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,43.53418423
0,1,3,23,1,0,0,0.0,22,18,0.0,8.7,5,34,10,22,7,17,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,47.21748539
0,1,4,0,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,48.15083185
0,1,4,1,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,48.88211979
0,1,4,2,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,48.57938307
0,1,4,3,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,49.31266229
0,1,4,4,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,48.53270165
0,1,4,5,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,47.82392182
0,1,4,6,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,44.23551564
0,1,4,7,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,33.12359077
0,1,4,8,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,15.84481526
0,1,4,9,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,17.64144179
0,1,4,10,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,35.16115116
0,1,4,11,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,22.56581734
0,1,4,12,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,21.0637633
0,1,4,13,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,22.21272986
0,1,4,14,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,18.82801387
0,1,4,15,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,25.66608147
0,1,4,16,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,20.4252902
0,1,4,17,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,14.05252592
0,1,4,18,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,9.147401141
0,1,4,19,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,19.02442385
0,1,4,20,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,38.24235869
0,1,4,21,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,45.15144992
0,1,4,22,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,43.42681956
0,1,4,23,2,0,0,0.0,22,18,0.0,8.7,5,41,11,23,7,17,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,46.23516395
0,1,5,0,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,47.62054959
0,1,5,1,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,49.33885926
0,1,5,2,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,47.11688238
0,1,5,3,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,49.39724077
0,1,5,4,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,48.08730374
0,1,5,5,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,47.36046548
0,1,5,6,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,44.20018536
0,1,5,7,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,31.60134478
0,1,5,8,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,16.46517421
0,1,5,9,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,17.96875426
0,1,5,10,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,25.75849717
0,1,5,11,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,20.21677059
0,1,5,12,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,15.45068766
0,1,5,13,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,24.11887946
0,1,5,14,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,18.52166955
0,1,5,15,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,16.46450885
0,1,5,16,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,18.17705224
0,1,5,17,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,18.76415651
0,1,5,18,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,12.73023552
0,1,5,19,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,27.26244377
0,1,5,20,3,0,0,0.0,22,18,0.0,5.5,5,49,11,0,7,17,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,39.24596273
